 (mm),(inch),Workshop Bonding,Field Bonding,MY-MOS25,MY-MOS25C,Remarks
25,1,28.55332035,1,MY-C08(150),MY-C05(150),
40,1.5,36.32619565,1,MY-C08(150),MY-C05(150),
50,2,36.6901063,1,MY-C08(150),MY-C05(150),
65,2.5,42.92111768,1,MY-C08(150),MY-C05(150),
80,3,66.50205664,1,MY-C08(150),MY-C05(150),
100,4,85.12936534,1,MY-C08(150),MY-C05(150),
125,5,129.1282539,1,MY-C08(150),MY-C05(150),
150,6,183.9472321,1,MY-C08(300),MY-C05(300),
200,8,276.1772864,1,MY-C08(300),MY-C05(300),
250,10,444.6938978,2,MY-C08(300),MY-C05(300),
300,12,641.0727139,3,MY-C08(300),MY-C05(300),
350,14,760.9934303,3,MY-C08(300),MY-C05(300),
400,16,992.4957409,4,MY-C08(300),MY-C05(300),
450,18,1144.438631,4,MY-C08(300),MY-C05(300),
500,20,1333.008827,5,MY-C08(300),MY-C05(300),
550,22,1449.640009,5,MY-C08(300),MY-C05(300),
600,24,1759.856157,6,MY-C08(300),MY-C05(300),
650,26,2432.572276,9,MY-C08(300),MY-C05(300),
700,28,2748.363647,10,MY-C08(300),MY-C05(300),
750,30,3223.571749,11,MY-C08(300),MY-C05(300),
800,32,3587.108495,12,MY-C08(300),MY-C05(300),
900,36,4530.280013,16,MY-C08(300),MY-C05(300),
1000,40,5582.440883,19,MY-C08(300),MY-C05(300),
1050,42,6066.074675,21,MY-C08(300),MY-C05(300),
1100,44,6549.708467,22,MY-C08(300),MY-C05(300),
1200,48,7582.321259,26,MY-C08(300),MY-C05(300),
1300,52,8688.683457,29,MY-C08(300),MY-C05(300),
1400,56,9868.220727,33,MY-C08(300),MY-C05(300),
1500,60,11120.21664,38,MY-C08(300),MY-C05(300),
1600,64,12445.31657,42,MY-C08(300),MY-C05(300),
